143	[8, 6, 7]
304	[8]
183	[8, 4]
138	[7]
120	[8, 6]
69	[5, 7]
299	[8]
44	[8, 6]
191	[8, 3, 4, 6]
263	[3]
242	[8, 6]
271	[8]
45	[5, 7]
17	[1, 2, 3]
51	[3]
219	[3, 4]
18	[1, 3, 5]
63	[8, 2, 4, 6]
19	[3, 5, 6, 7, 8]
91	[8, 6, 7]
97	[8, 5, 6, 7]
267	[7]
98	[5, 7]
272	[7]
74	[5, 7]
117	[5, 7]
168	[5, 7]
46	[5, 7]
84	[8, 5, 6, 7]
78	[5, 7]
20	[2, 3, 5, 6]
128	[5, 7]
232	[8, 6]
21	[8, 6]
243	[2, 3, 4]
293	[8]
252	[5, 7]
230	[3, 5, 6, 7, 8]
101	[8, 6]
268	[8]
169	[4]
22	[8, 6]
220	[8, 4, 6]
257	[5, 7]
234	[8, 6]
153	[8, 2, 6]
132	[8, 6]
273	[8]
23	[5, 6, 7]
24	[1, 2, 3, 5, 6, 8]
25	[5, 7]
245	[8, 4, 5]
72	[8, 6]
206	[8, 6]
47	[2, 3, 4, 5, 6, 7, 8]
288	[8]
110	[8, 5, 6, 7]
26	[8, 6]
111	[8]
27	[8, 6]
28	[3]
29	[1, 5, 7]
131	[3, 4, 5, 6, 7, 8]
118	[4]
161	[8, 6]
158	[4]
61	[3, 4, 5, 7]
105	[8, 4, 6]
241	[4]
207	[3]
290	[8]
274	[3]
30	[3, 5]
146	[5, 7]
180	[8, 6]
124	[8]
193	[8, 4, 6]
59	[8, 5, 6]
85	[8, 6]
296	[7]
189	[8]
231	[2, 3, 4, 6]
251	[8, 6]
31	[1, 5, 6, 7]
227	[7]
121	[8, 6]
190	[4]
277	[3]
129	[1, 5, 7]
154	[3, 4, 5, 6, 7, 8]
173	[8, 6]
52	[5, 7]
166	[5, 7]
79	[3, 5]
298	[8]
32	[2, 4, 6]
211	[8, 6]
255	[5, 7]
170	[1, 2, 3, 4, 5]
221	[8, 4]
246	[5, 7]
194	[3, 5, 7]
176	[8, 4, 5, 6]
223	[8, 4, 6]
125	[7]
167	[7]
100	[8]
86	[8, 6]
67	[8, 5, 6]
80	[8, 6]
33	[8, 6]
222	[2, 3, 4, 5]
109	[5, 7]
34	[5, 7]
163	[8, 6]
259	[4, 5]
148	[5, 7]
235	[8, 6]
108	[7]
94	[8, 2, 4, 6]
302	[8]
200	[2, 3, 4, 5, 8]
240	[3, 5]
87	[8, 4, 6]
35	[8, 2, 3, 6]
36	[1, 3, 5, 7]
262	[8]
208	[8, 7]
37	[5, 7]
159	[8, 4, 6]
103	[3, 4, 5, 6, 7, 8]
104	[8, 5, 6]
144	[5, 7]
38	[8, 3, 5]
93	[8, 6]
88	[5, 7]
39	[3, 4, 6]
141	[8, 2, 6]
256	[6]
228	[8, 4, 6, 7]
119	[3, 5, 7]
269	[7]
178	[5, 7]
147	[8, 3, 7]
64	[8, 5, 6, 7]
40	[4, 6]
237	[5, 7]
181	[8, 6]
179	[8, 3, 4, 6]
305	[6]
247	[5, 7]
140	[8, 6]
53	[6]
258	[5, 7]
89	[8, 6]
195	[5, 7]
92	[8, 6, 7]
137	[5, 7]
65	[7]
192	[4]
291	[8, 6]
133	[5, 7]
186	[5, 7]
209	[8, 6]
212	[3]
289	[7]
107	[8, 4, 6]
213	[4]
171	[5]
95	[5, 7]
68	[5, 7]
142	[7]
261	[8, 6]
112	[8, 6]
303	[7]
177	[4, 6]
60	[8, 6]
184	[5, 7]
214	[6]
160	[8, 6]
238	[8, 6]
294	[7]
